Company,GICS_Sector
MCO,Financials
MS,Financials
MOS,Materials
MSI,Information Technology
MSCI,Financials
NDAQ,Financials
NTAP,Information Technology
NFLX,Communication Services
NWL,Consumer Discretionary
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NEE,Utilities
NLSN,Industrials
NKE,Consumer Discretionary
NI,Utilities
NSC,Industrials
NTRS,Financials
NOC,Industrials
NLOK,Information Technology
NCLH,Consumer Discretionary
NOV,Energy
NRG,Utilities
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NXPI,Information Technology
ORLY,Consumer Discretionary
OXY,Energy
ODFL,Industrials
OMC,Communication Services
OKE,Energy
ORCL,Information Technology
OTIS,Industrials
PCAR,Industrials
PKG,Materials
PH,Industrials
PAYX,Information Technology
PAYC,Information Technology
PYPL,Information Technology
PENN,Consumer Discretionary
PNR,Industrials
PBCT,Financials
PEP,Consumer Staples
PKI,Health Care
PRGO,Health Care
PFE,Health Care
PM,Consumer Staples
PSX,Energy
PNW,Utilities
PXD,Energy
PNC,Financials
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PTC,Information Technology
PEG,Utilities
PSA,Real Estate
PHM,Consumer Discretionary
PVH,Consumer Discretionary
QRVO,Information Technology
PWR,Industrials
QCOM,Information Technology
DGX,Health Care
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
O,Real Estate
REG,Real Estate
REGN,Health Care
RF,Financials
RSG,Industrials
RMD,Health Care
RHI,Industrials
ROK,Industrials
ROL,Industrials
ROP,Industrials
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Information Technology
SBAC,Real Estate
SLB,Energy
STX,Information Technology
SEE,Materials
SRE,Utilities
NOW,Information Technology
SHW,Materials
SPG,Real Estate
SWKS,Information Technology
SNA,Industrials
SO,Utilities
LUV,Industrials
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STE,Health Care
SYK,Health Care
SIVB,Financials
SYF,Financials
SNPS,Information Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TGT,Consumer Discretionary
TEL,Information Technology
TDY,Industrials
TFX,Health Care
TER,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TWTR,Communication Services
TYL,Information Technology
TSN,Consumer Staples
UDR,Real Estate
ULTA,Consumer Discretionary
USB,Financials
UAA,Consumer Discretionary
UA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UNH,Health Care
UPS,Industrials
URI,Industrials
UHS,Health Care
UNM,Financials
VLO,Energy
VTR,Real Estate
VRSN,Information Technology
VRSK,Industrials
VZ,"Communication Services
"
VRTX,Health Care
VFC,Consumer Discretionary
VIAC,Communication Services
VTRS,Health Care
V,Information Technology
VNO,Real Estate
VMC,Materials
WRB,Financials
WAB,Industrials
WMT,Consumer Staples
WBA,Consumer Staples
DIS,Communication Services
WM,Industrials
WAT,Health Care
WEC,Utilities
WFC,Financials
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WU,Information Technology
WRK,Materials
WY,Real Estate
WHR,Consumer Discretionary
WMB,Energy
WLTW,Financials
WYNN,Consumer Discretionary
XEL,Utilities
XLNX,Information Technology
XYL,Industrials
YUM,Consumer Discretionary
ZBRA,Information Technology
ZBH,Health Care
ZION,Financials
ZTS,Health Care
